treatment,date,stage,subject,picturechoice1,picturechoice2,picturechoice3,picturechoice4,picturechoice5,mytype,r1s1_giveA,r2s1_giveA,r3s1_giveA,r4s1_giveA,r5s1_giveA,r1s1_giveB,r2s1_giveB,r3s1_giveB,r4s1_giveB,r5s1_giveB,r1s2_giveA,r2s2_giveA,r3s2_giveA,r4s2_giveA,r5s2_giveA,r1s2_giveB,r2s2_giveB,r3s2_giveB,r4s2_giveB,r5s2_giveB,r1s3_giveA,r2s3_giveA,r3s3_giveA,r4s3_giveA,r5s3_giveA,r1s3_giveB,r2s3_giveB,r3s3_giveB,r4s3_giveB,r5s3_giveB,round,myrole,actforsame,actforother,mypayoff,opponentid,opponenttype,sametype,opponentrole,game,payoffA_Aout,payoffB_Aout,payoffA_Bact1,payoffB_Bact1,payoffA_Bact2,payoffB_Bact2,paintingawards,stage2_payoff,myrole(A/B),choice,subjectID
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,6.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-2
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,11.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,5.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-4
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,1.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-7
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,8.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,12.0,,,1.0,Dict 2,,,400.0,400.0,750.0,375.0,,,B,B1,050326P3-10
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,700.0,3.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B1,050326P3-2
control,050326P3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,700.0,1.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B1,050326P3-5
control,050326P3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,700.0,6.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B1,050326P3-8
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,600.0,12.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B2,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,700.0,4.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B1,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,600.0,7.0,,,1.0,Dict 4,,,200.0,700.0,600.0,600.0,,,B,B2,050326P3-11
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,800.0,8.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,800.0,9.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B1,050326P3-4
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,800.0,2.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B1,050326P3-7
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,800.0,1.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B1,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,5.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B2,050326P3-11
control,050326P3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,800.0,6.0,,,1.0,Dict 5,,,0.0,800.0,400.0,400.0,,,B,B1,050326P3-12
control,050326P3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,400.0,9.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050326P3-1
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,5.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050326P3-2
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,750.0,12.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,750.0,6.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050326P3-4
control,050326P3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,750.0,2.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050326P3-5
control,050326P3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,4.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B2,050326P3-6
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,8.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050326P3-7
control,050326P3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,750.0,7.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050326P3-8
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,400.0,1.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A2,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,750.0,11.0,,,2.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,A,A1,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,10.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050326P3-11
control,050326P3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,3.0,,,1.0,Resp 2a,750.0,0.0,400.0,400.0,750.0,375.0,,,B,B1,050326P3-12
control,050326P3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,6.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-1
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,10.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-2
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,4.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,100.0,3.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B1,050326P3-4
control,050326P3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,100.0,8.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B1,050326P3-5
control,050326P3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,2.0,,100.0,1.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B2,050326P3-6
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,100.0,12.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B1,050326P3-7
control,050326P3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,5.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-8
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,11.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,2.0,,100.0,2.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B2,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,2.0,,100.0,9.0,,,1.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,B,B2,050326P3-11
control,050326P3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,750.0,7.0,,,2.0,Resp 3,750.0,100.0,300.0,600.0,700.0,500.0,,,A,A1,050326P3-12
control,050326P3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,700.0,3.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A1,050326P3-1
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,200.0,9.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B1,050326P3-2
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,200.0,1.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,200.0,7.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B1,050326P3-4
control,050326P3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,1.0,,200.0,12.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B1,050326P3-5
control,050326P3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,600.0,11.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B2,050326P3-6
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,700.0,4.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A1,050326P3-7
control,050326P3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,700.0,10.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A1,050326P3-8
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,700.0,2.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A1,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,2.0,,200.0,8.0,,,1.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,B,B2,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,2.0,,600.0,6.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A2,050326P3-11
control,050326P3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1,1.0,,700.0,5.0,,,2.0,Resp 4,700.0,200.0,200.0,700.0,600.0,600.0,,,A,A1,050326P3-12
control,050326P3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,400.0,4.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A1,050326P3-1
control,050326P3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,1200.0,11.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-2
control,050326P3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,1200.0,6.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-3
control,050326P3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,1200.0,1.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-4
control,050326P3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,200.0,7.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-5
control,050326P3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,400.0,3.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A1,050326P3-6
control,050326P3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,2.0,,400.0,5.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A2,050326P3-7
control,050326P3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,400.0,12.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A1,050326P3-8
control,050326P3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,400.0,10.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A1,050326P3-9
control,050326P3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,1200.0,9.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-10
control,050326P3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,1.0,,400.0,2.0,,,2.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,A,A1,050326P3-11
control,050326P3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2,1.0,,1200.0,8.0,,,1.0,Resp 11,400.0,1200.0,400.0,200.0,0.0,0.0,,,B,B1,050326P3-12
control,050401QD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,400.0,10.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B2,050401QD-1
control,050401QD,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,400.0,7.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B2,050401QD-4
control,050401QD,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,400.0,2.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B2,050401QD-5
control,050401QD,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,6.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B1,050401QD-8
control,050401QD,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,1.0,,400.0,3.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B1,050401QD-9
control,050401QD,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,400.0,11.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B2,050401QD-12
control,050401QD,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2,2.0,,400.0,14.0,,,1.0,Dict 1,,,400.0,400.0,750.0,400.0,,,B,B2,050401QD-13
control,050401QD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,2.0,,500.0,8.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B2,050401QD-1
control,050401QD,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,11.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-2
control,050401QD,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,4.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-3
control,050401QD,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,14.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-5
control,050401QD,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,6.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-7
control,050401QD,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,13.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-10
control,050401QD,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,1.0,,600.0,9.0,,,1.0,Dict 3,,,300.0,600.0,700.0,500.0,,,B,B1,050401QD-12
control,050401QD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,750.0,7.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A2,050401QD-1
control,050401QD,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,400.0,9.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A2,050401QD-2
control,050401QD,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,0.0,6.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B2,050401QD-3
control,050401QD,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,12.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B2,050401QD-4
control,050401QD,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,750.0,10.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A1,050401QD-5
control,050401QD,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,1.0,,750.0,3.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A1,050401QD-6
control,050401QD,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,1.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B2,050401QD-7
control,050401QD,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,750.0,13.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A2,050401QD-8
control,050401QD,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,400.0,2.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B1,050401QD-9
control,050401QD,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,0.0,5.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B2,050401QD-10
control,050401QD,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,1.0,,400.0,14.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B1,050401QD-11
control,050401QD,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,750.0,4.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A2,050401QD-12
control,050401QD,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,2.0,,400.0,8.0,,,1.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,B,B2,050401QD-13
control,050401QD,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,2.0,,400.0,11.0,,,2.0,Resp 1a,750.0,0.0,400.0,400.0,750.0,400.0,,,A,A2,050401QD-14
control,050401QD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,3.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-1
control,050401QD,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,400.0,4.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B2,050401QD-2
control,050401QD,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,1.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B2,050401QD-3
control,050401QD,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,2.0,,400.0,2.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A2,050401QD-4
control,050401QD,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,8.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-5
control,050401QD,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,12.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-6
control,050401QD,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,13.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B2,050401QD-7
control,050401QD,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,5.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B1,050401QD-8
control,050401QD,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,14.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-9
control,050401QD,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,11.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B1,050401QD-10
control,050401QD,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,10.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-11
control,050401QD,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,2.0,,0.0,6.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B2,050401QD-12
control,050401QD,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1.0,,800.0,7.0,,,2.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,A,A1,050401QD-13
control,050401QD,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,1.0,,0.0,9.0,,,1.0,Resp 5a,800.0,0.0,0.0,800.0,400.0,400.0,,,B,B1,050401QD-14
control,050401QD,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,550.0,12.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A1,050401QD-1
control,050401QD,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,550.0,6.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A1,050401QD-2
control,050401QD,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,550.0,13.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A1,050401QD-3
control,050401QD,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,2.0,,400.0,14.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A2,050401QD-4
control,050401QD,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,550.0,7.0,,,1.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,B,B1,050401QD-5
control,050401QD,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,550.0,2.0,,,1.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,B,B1,050401QD-6
control,050401QD,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,550.0,5.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A1,050401QD-7
control,050401QD,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1.0,,550.0,11.0,,,2.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,A,A1,050401QD-8
control,050401QD,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2,1.0,,550.0,10.0,,,1.0,Resp 2b,550.0,550.0,400.0,400.0,750.0,375.0,,,B,B1,050401QD-9
